NumGRASP , NumLS , strikes, FuncionObjetivo Sin Pesos , FuncionObjetivo Con pesos , Fosforo ,  Peso Fosforo, CantIncUsos, Peso CantIncUsos, CantIncProd, Peso CantIncProd
25 , 9 , 5 , 0.803885 , 0.674698 , 0.678885 , 0.82644624 , 0.000000 , 1.0 , 0.125000 , 0.9090909
25 , 10 , 6 , 0.803885 , 0.674698 , 0.678885 , 0.82644624 , 0.000000 , 1.0 , 0.125000 , 0.9090909
25 , 11 , 7 , 0.803885 , 0.674698 , 0.678885 , 0.82644624 , 0.000000 , 1.0 , 0.125000 , 0.9090909
26 , 1 , 0 , 1.159366 , 1.159366 , 0.659366 , 1.0 , 0.250000 , 1.0 , 0.250000 , 1.0
26 , 4 , 0 , 0.913261 , 0.913261 , 0.663261 , 1.0 , 0.000000 , 1.0 , 0.250000 , 1.0
26 , 5 , 1 , 0.913261 , 0.913261 , 0.663261 , 1.0 , 0.000000 , 1.0 , 0.250000 , 1.0
26 , 6 , 2 , 0.913261 , 0.913261 , 0.663261 , 1.0 , 0.000000 , 1.0 , 0.250000 , 1.0
26 , 8 , 3 , 0.911691 , 0.851537 , 0.661691 , 0.9090909 , 0.000000 , 1.0 , 0.250000 , 1.0
26 , 9 , 4 , 0.911691 , 0.851537 , 0.661691 , 0.9090909 , 0.000000 , 1.0 , 0.250000 , 1.0
26 , 10 , 5 , 0.911691 , 0.851537 , 0.661691 , 0.9090909 , 0.000000 , 1.0 , 0.250000 , 1.0
26 , 11 , 6 , 0.911691 , 0.851537 , 0.661691 , 0.9090909 , 0.000000 , 1.0 , 0.250000 , 1.0
27 , 1 , 0 , 1.146575 , 1.146575 , 0.771575 , 1.0 , 0.000000 , 1.0 , 0.375000 , 1.0
27 , 3 , 0 , 1.079821 , 1.015746 , 0.704821 , 0.9090909 , 0.000000 , 1.0 , 0.375000 , 1.0
27 , 4 , 1 , 1.079821 , 1.015746 , 0.704821 , 0.9090909 , 0.000000 , 1.0 , 0.375000 , 1.0
